$DEPOT:ID;capacity
00001;67
08208;0
08569;20
08206;1
08207;6
$INITIALSTOPPOINT:ID;isLoadingstation;frequency
08208;false;0
08569;true;1
08206;false;0
08207;false;0
08567;false;0
08568;false;0
08323;false;0
08444;false;0
08564;false;0
08685;false;0
08320;false;0
08562;true;4
09096;true;2
09094;false;0
09090;false;0
08319;false;0
08556;false;0
08675;false;0
08313;false;0
08673;false;0
08674;false;0
09085;false;0
08459;false;0
08218;false;0
09305;false;0
08336;false;0
08458;false;0
08697;false;0
08334;false;0
08698;false;0
08577;false;0
08211;false;0
08453;false;0
08332;false;0
08333;false;0
08212;false;0
08570;false;0
08450;false;0
00001;false;0
08648;false;0
08646;false;0
08525;false;0
08888;false;0
08647;false;0
08889;false;0
08886;false;0
08524;false;0
08887;false;0
08884;false;0
08642;false;0
08521;false;0
08885;false;0
08761;false;0
08882;false;0
08883;false;0
08641;false;0
08880;false;0
09057;false;0
08881;false;0
09054;false;0
09290;false;0
08639;false;0
08758;false;0
08759;false;0
08875;false;0
08996;false;0
08631;false;0
08632;false;0
08992;false;0
09048;false;0
09289;false;0
08993;false;0
08872;false;0
09044;false;0
08309;false;0
08429;false;0
08547;false;0
08546;false;0
08422;false;0
09075;false;0
09190;false;0
08659;false;0
08657;false;0
00016;false;0
08658;false;0
08534;false;0
08777;false;0
08774;false;0
08533;true;1
09069;false;0
08652;false;0
08773;false;0
09189;false;0
08890;true;207
09064;false;0
09062;false;0
08726;false;0
08844;false;0
08603;false;0
09019;false;0
09018;false;0
09139;false;0
08843;false;0
08601;false;0
08840;false;0
09379;false;0
09375;false;0
09132;false;0
08839;false;0
08957;false;0
08954;false;0
09129;false;0
08953;false;0
09127;false;0
09005;false;0
08951;false;0
09004;false;0
08399;false;0
09003;false;0
09124;false;0
08396;false;0
09123;false;0
09362;false;0
08395;false;0
08271;false;0
08392;false;0
08393;false;0
08272;false;0
08390;false;0
08391;false;0
08628;false;0
08507;false;0
08629;false;0
08747;false;0
08989;false;0
08506;false;0
08745;false;0
08866;false;0
08624;false;0
08867;false;0
09712;false;0
08865;false;0
08623;false;0
08983;false;0
08981;false;0
09157;false;0
09274;false;0
09708;false;0
08736;false;0
09705;false;0
09704;false;0
08613;false;0
09701;false;0
09700;false;0
09149;false;0
09148;false;0
08852;false;0
08970;false;0
09267;false;0
09025;false;0
09024;false;0
09144;false;0
08296;false;0
09021;false;0
09140;false;0
09380;false;0
08808;false;0
08929;false;0
08922;false;0
09216;false;0
09698;false;0
08361;false;0
08241;false;0
08362;false;0
08916;false;0
08913;false;0
08358;false;0
08479;false;0
08356;false;0
08357;false;0
09203;false;0
08354;false;0
08355;true;3
09683;false;0
08353;false;0
08470;false;0
08708;false;0
08826;false;0
08706;false;0
08702;false;0
08387;false;0
08385;false;0
08264;false;0
08386;false;0
08265;false;0
09110;false;0
08260;false;0
08814;false;0
09109;false;0
08812;true;1
08259;false;0
08378;false;0
08499;false;0
09104;false;0
09223;false;0
09222;false;0
09220;false;0
$Umlauf:ID;Fahrten;;;;;;;;
0;[0000108562, 06029338, 0889008888, 06029322, 0856400001];[]
1;[0856908569, 00786441, 0864608646, 00786440, 0838508889, 01310745, 0969809698, 00524298, 0889008569];[08890]
2;[0000108884, 03145752, 0889008884, 03145756, 0889000001];[08890]
3;[0000108884, 03145752, 0889008880, 01114134, 0889000001];[08890]
4;[0000108884, 03145752, 0889008889, 01310776, 0929008562, 06029339, 0889008888, 06029323, 0856400001];[08890]
5;[0820708890, 0889008883, 00655363, 0863108631, 00655388, 0889008885, 03276811, 0888508882, 03014673, 0889008207];[08890, 08890]
6;[0820708890, 0889008883, 00655363, 0863108631, 00655388, 0889008881, 00720908, 0863208632, 00720914, 0889008880, 00589862, 0889008207];[08890, 08890]
7;[0820708890, 0889008883, 00655363, 0863108631, 00655388, 0889008883, 02818059, 0889008882, 01179661, 0889008207];[08890, 08890]
8;[0000108888, 02949129, 0889008886, 02621466, 0889008886, 02621469, 0889008889, 01310778, 0929000001];[08890]
9;[0000108890, 0889008889, 01310749, 0969809698, 00524301, 0889008882, 01179662, 0889008889, 01310751, 0969809698, 00524303, 0889000001];[08890, 08890]
10;[0000108890, 0889008889, 01310749, 0969809698, 00524301, 0889008884, 03145760, 0889008458, 00655398, 0889000001];[08890, 08890]
11;[0856908568, 00655383, 0889008885, 03211267, 0889008378, 02686984, 0842908890, 0889008889, 01310744, 0969809698, 00524295, 0889008882, 01179652, 0889008883, 02818053, 0889008882, 01179653, 0889008883, 00655376, 0863108631, 00655372, 0889008569];[08890, 08890]
12;[0856908568, 00655383, 0889008885, 03211267, 0889008378, 02686984, 0842908890, 0889008889, 01310744, 0969809698, 00524295, 0889008888, 02949124, 0889008886, 02621456, 0889008884, 02031620, 0857708880, 00589842, 0889008569];[08890, 08890]
13;[0856908568, 00655383, 0889008885, 03211267, 0889008378, 02686984, 0842908890, 0889008889, 01310744, 0969809698, 00524295, 0889008888, 02949124, 0889008886, 02621456, 0889008883, 00655376, 0863108631, 00655372, 0889008569];[08890, 08890]
14;[0000108886, 01048604, 0889008881, 00065557, 0835708890, 0889008271, 00917529, 0895109362, 00917580, 0829608296, 00917531, 0895308951, 00917530, 0881209375, 00262155, 0889008881, 00065560, 0914009140, 00065590, 0889000001];[08890, 08890]
