$DEPOT:ID;capacity
00001;79
$INITIALSTOPPOINT:ID;isLoadingstation;frequency
08208;false;0
08569;false;0
08206;false;0
08207;false;0
08567;false;0
08568;false;0
08323;false;0
08444;false;0
08564;false;0
08685;false;0
08320;false;0
08562;false;0
09096;true;6
09094;false;0
09090;false;0
08319;false;0
08556;false;0
08675;false;0
08313;false;0
08673;false;0
08674;false;0
09085;false;0
08459;false;0
08218;false;0
09305;false;0
08336;false;0
08458;false;0
08697;false;0
08334;false;0
08698;false;0
08577;false;0
08211;false;0
08453;false;0
08332;false;0
08333;false;0
08212;false;0
08570;false;0
08450;false;0
00001;false;0
08648;false;0
08646;false;0
08525;false;0
08888;false;0
08647;false;0
08889;false;0
08886;false;0
08524;false;0
08887;false;0
08884;false;0
08642;false;0
08521;false;0
08885;false;0
08761;false;0
08882;false;0
08883;false;0
08641;false;0
08880;false;0
09057;false;0
08881;false;0
09054;false;0
09290;true;3
08639;false;0
08758;false;0
08759;false;0
08875;false;0
08996;false;0
08631;true;1
08632;false;0
08992;false;0
09048;false;0
09289;false;0
08993;false;0
08872;false;0
09044;false;0
08309;false;0
08429;false;0
08547;false;0
08546;false;0
08422;false;0
09075;false;0
09190;false;0
08659;false;0
08657;false;0
00016;false;0
08658;false;0
08534;false;0
08777;false;0
08774;false;0
08533;false;0
09069;false;0
08652;false;0
08773;false;0
09189;false;0
08890;true;253
09064;false;0
09062;false;0
08726;false;0
08844;false;0
08603;false;0
09019;false;0
09018;false;0
09139;false;0
08843;false;0
08601;false;0
08840;false;0
09379;false;0
09375;false;0
09132;false;0
08839;false;0
08957;false;0
08954;false;0
09129;false;0
08953;false;0
09127;false;0
09005;false;0
08951;false;0
09004;false;0
08399;false;0
09003;false;0
09124;false;0
08396;false;0
09123;false;0
09362;false;0
08395;false;0
08271;false;0
08392;false;0
08393;false;0
08272;true;1
08390;false;0
08391;false;0
08628;false;0
08507;false;0
08629;false;0
08747;false;0
08989;false;0
08506;false;0
08745;false;0
08866;false;0
08624;false;0
08867;false;0
09712;false;0
08865;false;0
08623;false;0
08983;false;0
08981;false;0
09157;false;0
09274;false;0
09708;false;0
08736;false;0
09705;false;0
09704;false;0
08613;false;0
09701;false;0
09700;false;0
09149;false;0
09148;false;0
08852;false;0
08970;false;0
09267;false;0
09025;true;2
09024;false;0
09144;false;0
08296;false;0
09021;false;0
09140;false;0
09380;false;0
08808;false;0
08929;false;0
08922;false;0
09216;false;0
09698;false;0
08361;false;0
08241;false;0
08362;false;0
08916;false;0
08913;false;0
08358;false;0
08479;false;0
08356;false;0
08357;false;0
09203;false;0
08354;true;1
08355;false;0
09683;false;0
08353;false;0
08470;false;0
08708;false;0
08826;false;0
08706;false;0
08702;false;0
08387;false;0
08385;false;0
08264;false;0
08386;false;0
08265;false;0
09110;true;9
08260;false;0
08814;false;0
09109;false;0
08812;false;0
08259;false;0
08378;false;0
08499;false;0
09104;false;0
09223;false;0
09222;false;0
09220;false;0
$Umlauf:ID;Fahrten;;;;;;;;
0;[0000108890, 0889008399, 00327696, 0839908355, 00393231, 0835708355, 00393232, 0835708890, 0889008844, 02686997, 0887508886, 01048590, 0889008881, 00065544, 0835708361, 00065565, 0889000001];[08890, 08890, 08890]
1;[0000108890, 0889008624, 00983045, 0827208624, 02228227, 0889008888, 02555914, 0891308685, 01441795, 0869708726, 02687067, 0887508890, 0889008885, 03276804, 0888508429, 02687064, 0837808378, 02686979, 0874708747, 02687003, 0837808890, 0889008880, 01114145, 0889008392, 02687033, 0832308890, 0889008889, 01310765, 0908509085, 01310762, 0970009700, 00524312, 0889008865, 02752514, 0889008881, 00065575, 0835708890, 0889008922, 02687052, 0886708882, 01179656, 0889008883, 02818056, 0889008889, 01310774, 0929000001];[08890, 08890, 08890, 08890, 08890]
2;[0000108355, 00393237, 0835708396, 01507330, 0874709190, 04653074, 0830908890, 0889008399, 00327685, 0839908569, 02686978, 0839008399, 00327686, 0839908890, 0889008882, 01179652, 0889008883, 02818053, 0889008889, 01310772, 0929008890, 0889008884, 03145772, 0889008885, 03211273, 0889000001];[08890, 08890, 08890, 08890]
3;[0000108641, 00720919, 0889009223, 02293767, 0820608890, 0889008885, 03276805, 0888508888, 00458759, 0827108884, 03145745, 0889000001];[08890, 08890]
4;[0000109021, 00458760, 0889008393, 02097155, 0895408954, 02228225, 0889000001];[]
5;[0000109157, 01572866, 0910408673, 04915202, 0899208992, 03473414, 0899308890, 0889008886, 01048598, 0889008881, 00065551, 0835708361, 00065578, 0889000001];[08890, 08890]
6;[0000109064, 04128769, 0889008888, 02162695, 0895408890, 0889008875, 02687051, 0891608881, 00065545, 0835708387, 01507335, 0835508355, 00393222, 0835708387, 01376258, 0889000001];[08890, 08890]
7;[0000109123, 01441800, 0891308981, 01835017, 0856908890, 0889008888, 02949125, 0889008886, 02621457, 0889000001];[08890]
8;[0000109190, 04653075, 0970508890, 0889008913, 02293769, 0826008886, 01048596, 0889000001];[08890, 08890]
9;[0000108361, 00065568, 0889009024, 00917514, 0881208812, 00917548, 0902508890, 0889008458, 00655382, 0889008890, 02490370, 0883908890, 0889008880, 01114122, 0889008881, 00065550, 0835708890, 0889008889, 01310764, 0908509085, 01310766, 0969809698, 00524299, 0889008885, 03276811, 0888508882, 03014673, 0889000001];[08890, 08890, 08890, 08890]
